time_id,order_date,day_of_week,month,year,quarter
1,2019-04-01 03:09:00,Monday,4,2019,2
2,2019-04-01 04:12:00,Monday,4,2019,2
3,2019-04-01 05:06:00,Monday,4,2019,2
4,2019-04-01 05:18:00,Monday,4,2019,2
5,2019-04-01 05:58:00,Monday,4,2019,2
6,2019-04-01 06:02:00,Monday,4,2019,2
7,2019-04-01 06:11:00,Monday,4,2019,2
8,2019-04-01 06:14:00,Monday,4,2019,2
9,2019-04-01 06:18:00,Monday,4,2019,2
10,2019-04-01 06:23:00,Monday,4,2019,2
11,2019-04-01 06:27:00,Monday,4,2019,2
12,2019-04-01 06:42:00,Monday,4,2019,2
13,2019-04-01 06:47:00,Monday,4,2019,2
14,2019-04-01 06:59:00,Monday,4,2019,2
15,2019-04-01 07:01:00,Monday,4,2019,2
16,2019-04-01 07:01:00,Monday,4,2019,2
17,2019-04-01 07:06:00,Monday,4,2019,2
18,2019-04-01 07:08:00,Monday,4,2019,2
19,2019-04-01 07:17:00,Monday,4,2019,2
20,2019-04-01 07:17:00,Monday,4,2019,2
21,2019-04-01 07:21:00,Monday,4,2019,2
22,2019-04-01 07:27:00,Monday,4,2019,2
23,2019-04-01 07:39:00,Monday,4,2019,2
24,2019-04-01 07:40:00,Monday,4,2019,2
25,2019-04-01 07:42:00,Monday,4,2019,2
26,2019-04-01 07:46:00,Monday,4,2019,2
27,2019-04-01 07:46:00,Monday,4,2019,2
28,2019-04-01 07:49:00,Monday,4,2019,2
29,2019-04-01 07:51:00,Monday,4,2019,2
30,2019-04-01 07:54:00,Monday,4,2019,2
31,2019-04-01 07:55:00,Monday,4,2019,2
32,2019-04-01 07:57:00,Monday,4,2019,2
33,2019-04-01 07:59:00,Monday,4,2019,2
34,2019-04-01 08:00:00,Monday,4,2019,2
35,2019-04-01 08:00:00,Monday,4,2019,2
36,2019-04-01 08:02:00,Monday,4,2019,2
37,2019-04-01 08:06:00,Monday,4,2019,2
38,2019-04-01 08:09:00,Monday,4,2019,2
39,2019-04-01 08:15:00,Monday,4,2019,2
40,2019-04-01 08:18:00,Monday,4,2019,2
41,2019-04-01 08:23:00,Monday,4,2019,2
42,2019-04-01 08:24:00,Monday,4,2019,2
43,2019-04-01 08:24:00,Monday,4,2019,2
44,2019-04-01 08:32:00,Monday,4,2019,2
45,2019-04-01 08:37:00,Monday,4,2019,2
46,2019-04-01 08:38:00,Monday,4,2019,2
47,2019-04-01 08:38:00,Monday,4,2019,2
48,2019-04-01 08:43:00,Monday,4,2019,2
49,2019-04-01 08:46:00,Monday,4,2019,2
50,2019-04-01 08:51:00,Monday,4,2019,2
51,2019-04-01 08:53:00,Monday,4,2019,2
52,2019-04-01 09:00:00,Monday,4,2019,2
53,2019-04-01 09:00:00,Monday,4,2019,2
54,2019-04-01 09:01:00,Monday,4,2019,2
55,2019-04-01 09:01:00,Monday,4,2019,2
56,2019-04-01 09:04:00,Monday,4,2019,2
57,2019-04-01 09:10:00,Monday,4,2019,2
58,2019-04-01 09:12:00,Monday,4,2019,2
59,2019-04-01 09:17:00,Monday,4,2019,2
60,2019-04-01 09:20:00,Monday,4,2019,2
61,2019-04-01 09:22:00,Monday,4,2019,2
62,2019-04-01 09:25:00,Monday,4,2019,2
63,2019-04-01 09:26:00,Monday,4,2019,2
64,2019-04-01 09:28:00,Monday,4,2019,2
65,2019-04-01 09:31:00,Monday,4,2019,2
66,2019-04-01 09:32:00,Monday,4,2019,2
67,2019-04-01 09:35:00,Monday,4,2019,2
68,2019-04-01 09:39:00,Monday,4,2019,2
69,2019-04-01 09:39:00,Monday,4,2019,2
70,2019-04-01 09:39:00,Monday,4,2019,2
71,2019-04-01 09:43:00,Monday,4,2019,2
72,2019-04-01 09:43:00,Monday,4,2019,2
73,2019-04-01 09:43:00,Monday,4,2019,2
74,2019-04-01 09:46:00,Monday,4,2019,2
75,2019-04-01 09:48:00,Monday,4,2019,2
76,2019-04-01 09:52:00,Monday,4,2019,2
77,2019-04-01 09:52:00,Monday,4,2019,2
78,2019-04-01 09:56:00,Monday,4,2019,2
79,2019-04-01 09:56:00,Monday,4,2019,2
80,2019-04-01 09:58:00,Monday,4,2019,2
81,2019-04-01 09:59:00,Monday,4,2019,2
82,2019-04-01 10:00:00,Monday,4,2019,2
83,2019-04-01 10:00:00,Monday,4,2019,2
84,2019-04-01 10:02:00,Monday,4,2019,2
85,2019-04-01 10:05:00,Monday,4,2019,2
86,2019-04-01 10:08:00,Monday,4,2019,2
87,2019-04-01 10:09:00,Monday,4,2019,2
88,2019-04-01 10:12:00,Monday,4,2019,2
89,2019-04-01 10:17:00,Monday,4,2019,2
90,2019-04-01 10:17:00,Monday,4,2019,2
91,2019-04-01 10:17:00,Monday,4,2019,2
92,2019-04-01 10:18:00,Monday,4,2019,2
93,2019-04-01 10:18:00,Monday,4,2019,2
94,2019-04-01 10:21:00,Monday,4,2019,2
95,2019-04-01 10:22:00,Monday,4,2019,2
96,2019-04-01 10:23:00,Monday,4,2019,2
97,2019-04-01 10:23:00,Monday,4,2019,2
98,2019-04-01 10:25:00,Monday,4,2019,2
99,2019-04-01 10:26:00,Monday,4,2019,2
100,2019-04-01 10:27:00,Monday,4,2019,2
101,2019-04-01 10:31:00,Monday,4,2019,2
102,2019-04-01 10:31:00,Monday,4,2019,2
103,2019-04-01 10:34:00,Monday,4,2019,2
104,2019-04-01 10:34:00,Monday,4,2019,2
105,2019-04-01 10:35:00,Monday,4,2019,2
106,2019-04-01 10:36:00,Monday,4,2019,2
107,2019-04-01 10:36:00,Monday,4,2019,2
108,2019-04-01 10:36:00,Monday,4,2019,2
109,2019-04-01 10:36:00,Monday,4,2019,2
110,2019-04-01 10:39:00,Monday,4,2019,2
111,2019-04-01 10:40:00,Monday,4,2019,2
112,2019-04-01 10:41:00,Monday,4,2019,2
113,2019-04-01 10:42:00,Monday,4,2019,2
114,2019-04-01 10:43:00,Monday,4,2019,2
115,2019-04-01 10:48:00,Monday,4,2019,2
116,2019-04-01 10:48:00,Monday,4,2019,2
117,2019-04-01 10:48:00,Monday,4,2019,2
118,2019-04-01 10:51:00,Monday,4,2019,2
119,2019-04-01 10:51:00,Monday,4,2019,2
120,2019-04-01 10:52:00,Monday,4,2019,2
121,2019-04-01 10:57:00,Monday,4,2019,2
122,2019-04-01 10:57:00,Monday,4,2019,2
123,2019-04-01 10:57:00,Monday,4,2019,2
124,2019-04-01 11:00:00,Monday,4,2019,2
125,2019-04-01 11:01:00,Monday,4,2019,2
126,2019-04-01 11:04:00,Monday,4,2019,2
127,2019-04-01 11:04:00,Monday,4,2019,2
128,2019-04-01 11:05:00,Monday,4,2019,2
129,2019-04-01 11:09:00,Monday,4,2019,2
130,2019-04-01 11:11:00,Monday,4,2019,2
131,2019-04-01 11:17:00,Monday,4,2019,2
132,2019-04-01 11:19:00,Monday,4,2019,2
133,2019-04-01 11:20:00,Monday,4,2019,2
134,2019-04-01 11:20:00,Monday,4,2019,2
135,2019-04-01 11:21:00,Monday,4,2019,2
136,2019-04-01 11:21:00,Monday,4,2019,2
137,2019-04-01 11:24:00,Monday,4,2019,2
138,2019-04-01 11:25:00,Monday,4,2019,2
139,2019-04-01 11:26:00,Monday,4,2019,2
140,2019-04-01 11:28:00,Monday,4,2019,2
141,2019-04-01 11:28:00,Monday,4,2019,2
142,2019-04-01 11:28:00,Monday,4,2019,2
143,2019-04-01 11:29:00,Monday,4,2019,2
